2026-02-22T08:32:10.372629 | Unknown | 39.9% | bbox=(269, 93, 179, 179)
2026-02-22T08:32:10.542770 | Unknown | 40.0% | bbox=(268, 91, 182, 182)
2026-02-22T08:32:10.714695 | Unknown | 39.9% | bbox=(270, 93, 178, 178)
2026-02-22T08:32:10.876382 | Unknown | 40.0% | bbox=(267, 92, 183, 183)
2026-02-22T08:32:11.034542 | Unknown | 40.0% | bbox=(267, 91, 185, 185)
2026-02-22T08:32:11.209236 | Unknown | 39.9% | bbox=(267, 94, 180, 180)
2026-02-22T08:32:11.359769 | Unknown | 39.9% | bbox=(264, 93, 182, 182)
2026-02-22T08:32:11.514902 | Unknown | 39.9% | bbox=(261, 93, 185, 185)
2026-02-22T08:32:11.676074 | Unknown | 39.9% | bbox=(260, 95, 182, 182)
2026-02-22T08:32:11.826696 | Unknown | 39.9% | bbox=(262, 95, 179, 179)
2026-02-22T08:32:11.975254 | Unknown | 39.9% | bbox=(261, 93, 183, 183)
2026-02-22T08:32:12.130470 | Unknown | 39.9% | bbox=(265, 95, 177, 177)
2026-02-22T08:32:12.287547 | Unknown | 39.9% | bbox=(264, 93, 182, 182)
2026-02-22T08:32:12.441963 | Unknown | 40.0% | bbox=(263, 94, 184, 184)
2026-02-22T08:32:12.590305 | Unknown | 39.8% | bbox=(263, 93, 181, 181)
